,titles,starRatings,monthOfTravel,yearOfTravel,author,reviews,dateResp,managers,responses
0,Terrific Stay in a GRAND hotel!,5,8,2020,rivieramayaguy,"We spent 3 nights at the beautiful Gran Hotel Ciudad de Mexico,  This is one of the most beautiful places at which we've ever stayed.  The public spaces are truly grand especially the stain glass ceiling.   The rooms were well appointed, beds comfortable and the Terrace Restaurant offered a terrific view of Zocalo Square. But the best part was the staff.. from check-in to check-out our experience was wonderful.  We had a slight issue with the room air conditioning and could not have been more pleased with the fast, professional response.  Truly a first class hotel!  We were especially pleased with staff members Cynthia at the Front Desk, Bellman Victor and Doorman/Bellman Jose Luis.  They remembered our names and addressed us each time we entered and truly provided great personal and professional service. We hope to be back soon!…","Responded Aug 17, 2020","Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded Aug 17, 2020","Dear guest,   Thanks for sending your comment. We are more than happy to know that this experience at Gran Hotel México was beyond your expectations and you could appreciate the stained glass ceiling Tiffany's style, the Terraza restaurant with its unique view and the rooms. The guest service provided by our staff is always friendly, polite and helpful in order to feel better than at home; Cynthia, Victor and José Luis will receive your congratulations.  We look forward to welcome you back in the near future.   All the best, "
1,Amazing views!,5,6,2022,Oscar X,"Daniel Zamudio was amazing! Very helpful and great views! As he told us, VERY James Bond vibes! Definitely recommend you come to eat before going to the museums! Such friendly people!  They serve excellent coffee and waters with specialty cocktails, must have!",Responded 4 days ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 4 days ago","Dear Oscar, What an incredible comment! We truly appreciate your words regarding your experience with us and we are so proud that you enjoyed every aspect of it, we will send your message to Daniel Zamudio. We hope to see you again soon. Best regards,"
2,Trip to Mexico City,5,6,2022,Maria C,"Alfredo Guzman,Bruno , provided fantastic service at The Grand Hotel Terrace Restaurant. It has a Amazing view of the Zocalo . The food was delicious, Margaritas are a must . We had our own salas prepared for us at our table.. My daughter added it to all her dishes because it was so good.",Responded 4 days ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 4 days ago","Dear Maria, Thanks for sending your comment. We feel very proud to know that the time you spend at the Terraza restaurant was the best, knowing that the service, dishes and salsas prepared at the moment were incredible, we will send your message to Alfredo Guzman and Bruno. It would a pleasure to welcome you back in the near future.  Warm regards,"
3,Amazing Restaurant View Super Professional Hotel Staff,5,6,2022,Alaa Z,"This place has one of the best restaurant views in the historic district overlooking the zocalo. Amazing vibes and interior design. Marlene the hostess offered world class service, super professional and courteous at the same time, she made sure to explain to me how to get to the restaurant and translated my request to sit next to the balcony to restaurant staff, her English was great which helped a lot too. Will be back.",Responded 6 days ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 6 days ago","Dear Alan, Thank you very much for your very kind comments on TripAdvisor and for highlighting our service, hospitality and attention to every detail, your congratulation will be sent to Marlene.  It would be a pleasure to welcome you back to Gran Hotel Ciudad de México in the near future.  Best wishes,"
4,Restaurante Plaza Mayor,5,6,2022,Bill G,Greatest service from Ventura and Rubén and delicious food. The Baked Alaska for dessert is unbelievably good. A nice detail above and beyond with the surprise dessert of carrot cake to share for our 43rd anniversary. Great view of the Zocalo.,Responded 6 days ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 6 days ago","Dear client, Thanks to you for having an amazing time with us and for recognizing the service from the staff, we will send your comments to Ventura and Ruben.  We look forward to being your host again. Warm regards,"
5,Dinner at Gran Hotel Ciudad de México,5,5,2022,Rani A,The waiter Laceró Rodriquez recommend the strawberry water and it was really good! Recommend this spot waiters friendly and food is delicious! It was also close to main attractions and historical views,Responded 1 week ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 1 week ago","Dear Rainjoon, We appreciate your comments. It is such a pleasure to know that we managed to turn the time you stayed at the Terraza restaurant into a remarkable experience knowing that the food, the beverages and the service were unique, we will send the message to Lazaro Rodriguez. We hope to see you again so soon.  All the best,"
6,"Not as expected, outdated rooms!!",3,5,2022,Ahmed K,"Been there for 4 nights with my wife.  The hotel’s location is in the center, very close to restaurants, shops and bars.  The room didn’t give me the feeling of a 5 star hotel. Very outdated with a broken shower and a very bad smell during my whole stay.  It was very noisy as my room was direct on Zocalo square. I was offered an upgrade but it was after my 2nd night so it would’ve been too much of a hassle to change rooms.  In general, the staff were friendly.  Definitely i will try another hotel in my next trip to Mexico city.",Responded 2 weeks ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 2 weeks ago","Dear Ahmed, Thank you for taking the time for having provided us with your opinion. We really regret that your expectations were not fulfilled this time, as our mission is making our guests happy by creating unique experiences. As you have noticed, the hotel as well as the rooms maintain a classical and vintage style in order to perfectly match with the design the building originally counts with. Regarding the aspects mentioned, we will verify these immediately and give the necessary corrections.        If you give us a second opportunity, you can select one of our internal rooms, as these are an excellent option if you want a silent and peaceful rest.  Once again, we offer a sincere apologize and we hope that you can give us a second opportunity in the future.  Sincerely,"
7,Awesome hotel with thoughtful staff and great services !,5,5,2022,Shun-Heng T,"During our stay in this hotel, front desk receptionists - Andrea and Cynthia, and doorman - Jesus and Diego, were all very helpful and informative whenever we had questions and needed other services arrangement. Our hotel room was well cleaned and neatly setup when we came back from each day tour in the city. House-keeping staff did a great job !  Excellent services overall. We will definitely want to stay in this hotel again if we go to Mexico City again,",Responded 2 weeks ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 2 weeks ago","Dear guest, Thank you so much for sharing your comments on TripAdvisor, and what a delight to be your hosts at Gran Hotel Ciudad de México. It was wonderful that you enjoyed our hospitality and professional service from all the staff, we will certainly share your kind words with Andrea, Cynthia, Jesus and Diego. As a valued guest, we hope to welcome you back in the near future.  Best wishes,"
8,Greatest hotel I've ever stayed in!,5,5,2022,Stephen T,"Excellent service, beautiful hotel and room, and an incredible view. Ordered room service for breakfast and dinner, both were fantastic. The entire experience was an absolute steal for the price. Choose the Plaza view, you won't regret it. Can't wait to come back!",Responded 3 weeks ago,"Response from Gerente General, Otro at Gran Hotel Ciudad De MexicoResponded 3 weeks ago","Dear Stephen, We are honored to read your comments on TripAdvisor. Thanks for staying at Gran Hotel Ciudad de México and having a wonderful time with us, where the service, room and hospitality were extraordinary.  Allow us to have the delight to welcome you back in the near future. Warm regards,"
9,The model all hotels should follow!,5,5,2022,MarkyP30,"If I were designing the perfect hotel I would model it on the Mexico City Sofitel Reforma. The building, view, food and location are perfect but the true differentiator is their staff!  They really do go above and beyond to make your stay perfect and ensure you feel at home. This is particularly important when travelling!  José Manuel Delgado and his team (Fernanda, Jonathan, Gisela) helped me whenever I needed with paperwork, questions, bookings and treated me with kindness and care. They are a credit to Sofitel!  Diana at reception and Alex at the Lobby bar also were very friendly and kind.  Thank you and I will definitely return to your hotel as it’s the best I have ever stayed in.  Thank you 🙏",Responded 1 week ago,"Response from Jose Delgado, Guest Services / Front Office at Sofitel México City ReformaResponded 1 week ago","Bonjour MarkyP30,  Your comments mean the world to us, I am very happy to read that your stay with us was magnifique and that we exceeded your expectations during your trip! Fernanda, Gisela, Diana, Jonathan, Alex and I are thrilled to know that we contributed to you having an amazing time, and we very much appreciate your kind comments regarding your stay. We hope to host you again very soon!  Best regards, José Manuel Delgado Director of Quality & Guest Experience"
10,Luxury 40th birthday celebration in Mexico City,5,5,2022,dannnie82,"My husband and I spent 5 days in Mexico City to celebrate his 40th birthday. We have been to Tulum, Cancun, Cozumel and Playa( you know all of the resort towns) and were looking for a different experience. So we settled on Mexico City. Not too far away, fun, vibrant, diverse and bursting at the seems with culture and flare. If you are looking for something different, Mexico City is definitely a place to go.  But enough about the town, this review is for the hotel.  We stayed at the Sofitel Mexico City Reforma and it did not disappoint. We have stayed at many luxury hotels in many different cities and this one was second to none.  It started off about 2 weeks prior to our stay when the staff reached out to see if they could help us plan our trip. They sent me an offering of ideas to decorate the room for my husband upon our arrival, booked our airport transportation, booked a Hot Air Balloon Ride, A full day trip to Xochimilco complete with a tour guide and not to mention got us reservations at some of the hottest restaurants in Mexico City that had told us they were booked.  From our first day Marla, Luis, Arturo and  Ricardo went out of their way to make our stay amazing.  Ricardo gave us an amazing Tequila tasting right there in the lobby bar and provided so much information about the tequila and the region. He and Marla even sent us home with drink recipes to try at home!   Arturo came through with the dinner reservations every day and the private tour with Roberto, which was amazing. With Roberto, we were able to explore Xochimilco like locals. We visited a local market and ate with the locals, rode a Coyoacán and visited the Frida Kahlo Museum.  We booked through AMEX fine hotels which provided us with some additional amenities that made the experience even better.  Sofitel Mexico City Reforma is a must when in Mexico city, I'd give it a 10 out 10!!!…",Responded 1 week ago,"Response from Jose Delgado, Guest Services / Front Office at Sofitel México City ReformaResponded 1 week ago","Bonjour dannnie82,  What a joy to read that you had a wonderful birthday celebration with us! Thank you for choosing us as the hosts for such an special occasion! I am glad that we helped to make this stay magnifique; I am sure Marla, Luis, Arturo and Ricardo will be delighted to know this as well. We hope to welcome you back very soon!  Best regards, José Manuel Delgado Director of Quality & Guest Experience"
11,Good for the night,5,5,2022,Juliana T,"I just went to the rooftop for drinks, the place is very nice, music is good and the view is amazing. I really recommend this place for a night plan in CDMX. The service was very good. If you are staying near this hotel you can go just for a night. !!!!",Responded 3 weeks ago,"Response from Jose Delgado, Guest Services / Front Office at Sofitel México City ReformaResponded 3 weeks ago","Bonjour Juliana T,  Thank you sincerely for sharing your wonderful experience at Cityzen! It makes me very happy to know you had an amazing time with us, enjoying our service and magnificent views. We hope to welcome you back soon!  Best regards, José Manuel Delgado Director of Quality & Guest Experience"
12,Great location,4,6,2022,YIkemi,"Only complain is drain at shower and elevator maintenance. During shower, water drain took time so the water on the floor almost overflowed. Other is great. Location is great. It would be greater if you increase opened counters in check-in/out to minimize the waiting time.",Responded 1 week ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 1 week ago",Thank you very much for your kind review. We take note of your suggestion regarding the counters at the front desk. We are working on the points you mentioned.  We hope we will have another opportunity of serving you again soon.
13,Will stay again,5,6,2022,cmp0219,"Galeria Plaza Reforma is conveniently located, lots of food, shopping, museums, ect. The hotel and rooms were clean and the staff was great too - shout out to Irma! Note: the hotel is located near several clubs and on the weekends you may hear a little noise until 5am. Other than than, will definitely stay again.",Responded 1 week ago,"Response from Gabriela Gonzalez, Other at Galeria Plaza ReformaResponded 1 week ago",Thank you for your visit and your kind comments! we are very glad to know you have had a good time at our hotel. Look forward to another opportunity to serve you soon 
